Timestamp,Temperature (C),Humidity (%),Fan On,Humidifier On
2025-02-01 23:08:38,25.3,38.1,False,False
2025-02-01 23:08:43,25.3,38.1,False,False
2025-02-01 23:08:48,25.3,38.0,False,False
2025-02-01 23:08:53,25.3,38.2,False,False
2025-02-01 23:08:59,25.3,38.7,False,False
2025-02-01 23:09:04,25.4,40.0,False,False
2025-02-01 23:09:09,25.4,42.8,False,False
2025-02-01 23:09:14,25.5,45.1,False,False
2025-02-01 23:09:20,25.5,48.0,False,False
2025-02-01 23:09:25,25.6,49.8,False,False
2025-02-01 23:09:30,25.7,51.5,False,False
2025-02-01 23:09:35,25.7,53.3,False,False
2025-02-01 23:09:41,25.8,54.7,False,False
2025-02-01 23:09:46,25.9,55.8,False,False
2025-02-01 23:09:51,25.9,56.2,False,False
2025-02-01 23:09:57,26.0,56.1,False,False
2025-02-01 23:30:42,25.0,38.1,False,False
2025-02-01 23:30:47,25.0,38.1,False,False
2025-02-01 23:30:53,25.0,38.2,False,False
2025-02-01 23:30:58,25.0,38.1,False,False
2025-02-01 23:31:03,25.1,38.0,False,False
2025-02-01 23:31:08,25.1,38.7,False,False
2025-02-01 23:31:14,25.2,40.2,False,False
2025-02-01 23:31:19,25.2,42.6,False,False
2025-02-01 23:31:24,25.3,45.1,False,False
2025-02-01 23:31:29,25.3,48.0,False,False
2025-02-01 23:31:35,25.4,50.0,False,False
2025-02-01 23:31:40,25.5,51.8,False,False
2025-02-01 23:31:45,25.6,53.2,False,False
2025-02-01 23:31:51,25.6,54.4,False,False
2025-02-01 23:31:56,25.7,55.3,False,False
2025-02-01 23:32:01,25.8,56.3,False,False
2025-02-01 23:32:06,25.9,54.5,False,False
2025-02-01 23:32:12,26.0,51.6,False,False
2025-02-01 23:35:29,25.6,37.0,False,False
2025-02-01 23:35:35,25.6,37.1,False,False
2025-02-01 23:35:40,25.5,37.2,False,False
2025-02-01 23:35:45,25.5,37.1,False,False
2025-02-01 23:35:50,25.6,37.2,False,False
2025-02-01 23:35:56,25.6,37.6,False,False
2025-02-01 23:36:01,25.6,39.1,False,False
2025-02-01 23:36:06,25.7,41.6,False,False
2025-02-01 23:36:11,25.7,44.4,False,False
2025-02-01 23:36:24,25.8,48.8,False,False
2025-02-01 23:36:29,25.9,50.9,False,False
2025-02-01 23:36:34,26.0,52.2,False,False
2025-02-01 23:36:40,26.0,53.8,False,False
2025-02-01 23:41:50,25.2,37.5,False,False
2025-02-01 23:42:03,25.2,37.6,False,False
2025-02-01 23:42:08,25.2,37.7,False,False
2025-02-01 23:42:13,25.3,37.7,False,False
2025-02-01 23:42:19,25.3,38.5,False,False
2025-02-01 23:42:24,25.3,41.1,False,False
2025-02-01 23:42:29,25.4,43.9,False,False
2025-02-01 23:42:35,25.5,46.6,False,False
2025-02-01 23:42:40,25.5,48.9,False,False
2025-02-01 23:42:45,25.6,50.7,False,False
2025-02-01 23:42:50,25.7,52.1,False,False
2025-02-01 23:42:56,25.8,52.9,False,False
2025-02-01 23:43:01,25.8,53.9,False,False
2025-02-01 23:43:06,25.9,54.8,False,False
2025-02-01 23:43:11,26.0,55.9,False,False
2025-02-01 23:49:10,25.2,37.4,False,False
2025-02-01 23:49:15,25.2,37.4,False,False
2025-02-01 23:49:20,25.2,37.4,False,False
2025-02-01 23:49:26,25.2,37.3,False,False
2025-02-01 23:49:31,25.2,37.3,False,False
2025-02-01 23:49:36,25.3,37.4,False,False
2025-02-01 23:49:41,25.3,39.2,False,False
2025-02-01 23:49:47,25.4,42.3,False,False
2025-02-01 23:49:52,25.4,45.1,False,False
2025-02-01 23:49:57,25.5,47.8,False,False
2025-02-01 23:50:03,25.6,49.7,False,False
2025-02-01 23:50:08,25.6,51.2,False,False
2025-02-01 23:50:13,25.7,52.2,False,False
2025-02-01 23:50:18,25.8,53.0,False,False
2025-02-01 23:50:24,25.9,52.1,False,False
2025-02-01 23:50:29,25.9,52.6,False,False
2025-02-01 23:50:34,26.0,51.6,False,False
2025-02-01 23:55:29,25.4,37.0,False,False
2025-02-01 23:55:34,25.4,37.1,False,False
2025-02-01 23:55:40,25.3,37.1,False,False
2025-02-01 23:55:45,25.4,37.1,False,False
2025-02-01 23:55:50,25.4,37.1,False,False
2025-02-01 23:55:55,25.4,37.8,False,False
2025-02-01 23:56:01,25.5,39.8,False,False
2025-02-01 23:56:06,25.5,42.2,False,False
2025-02-01 23:56:11,25.6,45.5,False,False
2025-02-01 23:56:16,25.6,47.7,False,False
